fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,salinity_psu,tl_used_cm,bw_used_g,initial_lab_holding_condition,initial_lab_holding_days_approx,previous_trial_condition,inter_trial_interval_days,final_pretrial_condition,final_pretrial_period_days,fasting_duration_days,fasting_note,uf_reconstructed_m_s,tf_reconstructed_min,ucrit_m_s,ucrit_tl_s,uopt_m_s,uopt_tl_s,mincot_mg_o2_kg_km,mo2_at_uopt_mg_o2_kg_h,mo2_at_0_1_m_s_mg_o2_kg_h,n_active_speed_steps,uopt_position_flag,ucrit_status,active_metrics_status,lowflow_mo2_status,missing_or_exclusion_reason,notes
Eel 1,E01FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,-,53.4,198,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.5,12.0,0.51,0.955056,0.5,0.93633,45.906832426832445,82.63229836829841,64.27306439393912,2,highest_observed_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.71; Table S2 uses observed COT-minimum speed.
Eel 2,E02FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,-,58.9,300,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.5,12.00000000000001,0.51,0.865874,0.5,0.848896,48.55484156912564,87.39871482442616,69.57413582990155,2,highest_observed_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.44; Table S2 uses observed COT-minimum speed.
Eel 3,E03FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,-,53.5,183,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.5,12.00000000000001,0.51,0.953271,0.4,0.747664,53.521699746666656,77.0712476352,81.45024918960108,2,lowest_active_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.59; Table S2 uses observed COT-minimum speed.
Eel 4,E04FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,-,56.3,211,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.4,0.0,0.4,0.71048,0.4,0.71048,65.9357968009477,94.9475473933647,52.87729265402807,1,single_active_point,boundary_ambiguous,single_active_point,valid,,Ucrit equals a 0.1 m s-1 speed-step boundary; reconstructed Uf/tf are ambiguous.; Only one valid active-speed MO2/COT point was available.; Original Uopt&Ucrit Uopt value was <0.4.
Eel 5,E05FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,-,56.8,204,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.6,12.00000000000001,0.61,1.073944,0.6,1.056338,43.6173406862745,94.21345588235293,51.897242647058725,3,highest_observed_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.
Eel 6,E06FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,-,62.7,347,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.4,116.99999999999997,0.4975,0.793461,0.5,0.797448,59.69647528264242,107.45365550875636,50.459167867435305,2,highest_observed_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.64; Table S2 uses observed COT-minimum speed.
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,-,70.3,570,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,1.4,6.0000000000001386,1.405,1.998578,0.8,1.13798,35.35413559941525,101.81991052631594,43.230800000000094,10,interior_minimum,valid,valid,valid,,
Eel 8,E08FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,-,66.8,310,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.6,48.00000000000004,0.64,0.958084,0.4,0.598802,48.53396214677416,69.88890549135479,62.066655736490375,3,lowest_active_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.48; Table S2 uses observed COT-minimum speed.
Eel 9,E09FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,-,65.3,440,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,0.7,30.000000000000025,0.725,1.11026,,,,,,0,not_estimable,valid,not_estimable,not_estimable,No valid active-speed MO2/COT values (>=0.4 m s-1).; Low-flow MO2 at 0.1 m s-1 missing.,Original Uopt&Ucrit Uopt value was <0.4.
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,-,69.3,414,FW25,~1 month,none,none,FW25,3,3,Fasted during the final 3 days before the FW25 trial.,1.0,65.99999999999991,1.055,1.522367,0.7,1.010101,31.22412008281574,78.68478260869567,44.65361413043471,7,interior_minimum,valid,valid,valid,,
