comparison,response_variable,analysis_set,covariate,n,estimate_stage_S1_vs_Y2,se,ci_lower,ci_upper,p_value,r_squared,estimate_covariate,note,p_value_fdr
SW18_Y2_vs_SW18_S1_body_size_adjusted,ucrit_m_s,main,tl_used_cm,14,0.1084140650718753,0.08753567372037563,-0.08425065376453443,0.301078783908285,0.24130519048826085,0.33046534140907635,-0.016396173963934314,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.2576720678791531
SW18_Y2_vs_SW18_S1_body_size_adjusted,ucrit_m_s,main,bw_used_g,14,0.104663467117971,0.09786056792091369,-0.11072619063324951,0.3200531248691915,0.30774461754924787,0.23320134345880705,-0.000443005193208761,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.33060463081815117
SW18_Y2_vs_SW18_S1_body_size_adjusted,ucrit_tl_s,main,tl_used_cm,14,0.1325650987644025,0.11104610845672916,-0.11184573803382003,0.37697593556262504,0.2576720678791531,0.5450869927652198,-0.031574085240864726,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.2576720678791531
SW18_Y2_vs_SW18_S1_body_size_adjusted,ucrit_tl_s,main,bw_used_g,14,0.1331489158479613,0.13081119592120458,-0.15476458514731317,0.42106241684323575,0.33060463081815117,0.4215384810879095,-0.0008860267147743147,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.33060463081815117
SW18_Y2_vs_SW18_S1_body_size_adjusted,uopt_m_s,main_valid_plus_boundary,tl_used_cm,14,0.13723307363107648,0.0734004930014101,-0.024320322207799505,0.29878646946995246,0.08836640029023439,0.24318867976096858,-0.006869307582574348,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.17673280058046878
SW18_Y2_vs_SW18_S1_body_size_adjusted,uopt_m_s,main_valid_plus_boundary,bw_used_g,14,0.12098092400239634,0.07985548896012137,-0.05477982214999856,0.29674167015479125,0.15796698566165132,0.1791530554637787,-0.00012366710776191088,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.31593397132330264
SW18_Y2_vs_SW18_S1_body_size_adjusted,uopt_m_s,sensitivity_valid_only,tl_used_cm,8,0.1867816883228638,0.08604631056120701,-0.034407394629296095,0.4079707712750237,0.08206932503073858,0.4972801787923996,-0.005636347990706482,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.16413865006147715
SW18_Y2_vs_SW18_S1_body_size_adjusted,uopt_m_s,sensitivity_valid_only,bw_used_g,8,0.19383494846343122,0.08715171860656146,-0.030195676331083054,0.4178655732579455,0.07673086941494169,0.5100956321111002,-0.0001727694109866214,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.15346173882988337
SW18_Y2_vs_SW18_S1_body_size_adjusted,uopt_tl_s,main_valid_plus_boundary,tl_used_cm,14,0.17319922567870083,0.09001564791487751,-0.024923879557196216,0.3713223309145979,0.08058981507288075,0.34103611870968253,-0.01606115211236696,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.17673280058046878
SW18_Y2_vs_SW18_S1_body_size_adjusted,uopt_tl_s,main_valid_plus_boundary,bw_used_g,14,0.15782916699815985,0.10299256802432005,-0.06885594682220222,0.3845142808185219,0.1536568313995018,0.2095028015144358,-0.0003846113566454276,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.31593397132330264
SW18_Y2_vs_SW18_S1_body_size_adjusted,uopt_tl_s,sensitivity_valid_only,tl_used_cm,8,0.23333603530964064,0.1012209563759359,-0.026860716536075913,0.4935327871553572,0.06931984455054356,0.5453520350064218,-0.01487389983650289,exploratory OLS; covariate centered; TL and BW fitted in separate models,0.16413865006147715
