comparison,comparison_description,response_variable,analysis_set,group_1,group_2,estimate_definition,n_group_1,n_group_2,n_pairs,mean_group_1,sd_group_1,median_group_1,mean_group_2,sd_group_2,median_group_2,estimate_difference,ci_lower,ci_upper,test_method,p_value,n_excluded_from_population,exclusion_reason_summary,notes,p_value_fdr
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,ucrit_m_s,main,FW25,FW18,group_1_minus_group_2,10,10,10.0,0.68625,0.31141087988557997,0.56,0.52308,0.2701415834541419,0.405,0.16316999999999998,-0.051820250000000054,0.41051874999999977,paired sign-flip permutation test; bootstrap percentile CI for mean paired difference,0.232421875,0,,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",0.26171875
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,ucrit_m_s,main,Y2_FW18,Y2_SW18,group_2_minus_group_1,5,6,,0.4655,0.2567367328607264,0.34,0.795138888888889,0.15474927451514267,0.8375000000000001,0.3296388888888889,0.07952222222222231,0.5320013888888889,two-sample permutation test; bootstrap percentile CI for mean difference,0.042195780421957804,1,not_estimable:1; missing_value:1,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.0632936706329367
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,ucrit_m_s,main,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,0.795138888888889,0.15474927451514267,0.8375000000000001,0.7947916666666667,0.16438542953815719,0.8125,-0.0003472222222222765,-0.15278645833333357,0.15417534722222198,two-sample permutation test; bootstrap percentile CI for mean difference,1.0,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,1.0
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,ucrit_tl_s,main,FW25,FW18,group_1_minus_group_2,10,10,10.0,1.0941375,0.38722116632868153,0.95657,0.8611117,0.45290295378518397,0.6956884999999999,0.23302579999999998,-0.10183405250000002,0.5984467699999999,paired sign-flip permutation test; bootstrap percentile CI for mean paired difference,0.26171875,0,,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",0.26171875
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,ucrit_tl_s,main,Y2_FW18,Y2_SW18,group_2_minus_group_1,5,6,,0.6903444000000001,0.3601641321665721,0.510367,1.0573808333333334,0.23218696666300348,1.108734,0.36703643333333336,0.010184109166666734,0.6576456033333333,two-sample permutation test; bootstrap percentile CI for mean difference,0.07529247075292471,1,not_estimable:1; missing_value:1,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.07529247075292471
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,ucrit_tl_s,main,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,1.0573808333333334,0.23218696666300348,1.108734,0.9805044999999999,0.2512297037431226,1.0333295,-0.07687633333333355,-0.31028617812500003,0.15911084479166682,two-sample permutation test; bootstrap percentile CI for mean difference,0.5685431456854314,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.8528147185281472
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_m_s,main_valid_plus_boundary,FW25,FW18,group_1_minus_group_2,3,3,3.0,0.6,0.09999999999999998,0.6,0.6666666666666666,0.1527525231651947,0.7,-0.0666666666666667,-0.20000000000000007,0.0,paired sign-flip permutation test; bootstrap percentile CI for mean paired difference,1.0,9,not_estimable:7; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_m_s,main_valid_plus_boundary,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,6,,0.7,,0.7,0.48333333333333334,0.07527726527090808,0.5,-0.21666666666666662,,,two-sample permutation test; bootstrap percentile CI for mean difference,0.14378562143785623,5,not_estimable:4; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.14378562143785623
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_m_s,main_valid_plus_boundary,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,0.48333333333333334,0.07527726527090808,0.5,0.575,0.13887301496588272,0.6,0.09166666666666662,-0.012499999999999956,0.19583333333333347,two-sample permutation test; bootstrap percentile CI for mean difference,0.19718028197180282,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7480585274805853
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_m_s,sensitivity_valid_only,FW25,FW18,group_1_minus_group_2,1,1,1.0,0.7,,0.7,0.7,,0.7,0.0,,,paired sign-flip permutation test; bootstrap percentile CI for mean paired difference,1.0,15,not_estimable:7; boundary_estimate:6; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_m_s,sensitivity_valid_only,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,3,,0.7,,0.7,0.5,0.0,0.5,-0.19999999999999996,,,two-sample permutation test; bootstrap percentile CI for mean difference,0.25577442255774424,8,not_estimable:4; boundary_estimate:3; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.25577442255774424
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_m_s,sensitivity_valid_only,SW18_Y2,SW18_S1,group_2_minus_group_1,3,5,,0.5,0.0,0.5,0.64,0.11401754250991382,0.6,0.14,0.05999999999999994,0.23999999999999988,two-sample permutation test; bootstrap percentile CI for mean difference,0.10168983101689831,7,boundary_estimate:6; not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.40675932406759324
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_tl_s,main_valid_plus_boundary,FW25,FW18,group_1_minus_group_2,3,3,3.0,0.9717783333333333,0.10890140461138842,1.010101,1.0891493333333333,0.2880311246347056,1.010101,-0.11737099999999996,-0.3521129999999999,0.0,paired sign-flip permutation test; bootstrap percentile CI for mean paired difference,1.0,9,not_estimable:7; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_tl_s,main_valid_plus_boundary,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,6,,1.010101,,1.010101,0.6406729999999999,0.10319759320061683,0.674031,-0.369428,,,two-sample permutation test; bootstrap percentile CI for mean difference,0.14378562143785623,5,not_estimable:4; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.14378562143785623
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_tl_s,main_valid_plus_boundary,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,0.6406729999999999,0.10319759320061683,0.674031,0.70733325,0.19398146281962836,0.748543,0.06666025000000009,-0.0757650145833333,0.21231558333333342,two-sample permutation test; bootstrap percentile CI for mean difference,0.461053894610539,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7480585274805853
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_tl_s,sensitivity_valid_only,FW25,FW18,group_1_minus_group_2,1,1,1.0,1.010101,,1.010101,1.010101,,1.010101,0.0,,,paired sign-flip permutation test; bootstrap percentile CI for mean paired difference,1.0,15,not_estimable:7; boundary_estimate:6; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_tl_s,sensitivity_valid_only,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,3,,1.010101,,1.010101,0.6874493333333334,0.02567073838699099,0.684932,-0.32265166666666656,,,two-sample permutation test; bootstrap percentile CI for mean difference,0.25577442255774424,8,not_estimable:4; boundary_estimate:3; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.25577442255774424
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_tl_s,sensitivity_valid_only,SW18_Y2,SW18_S1,group_2_minus_group_1,3,5,,0.6874493333333334,0.02567073838699099,0.684932,0.7973320000000002,0.16721360633034624,0.819672,0.1098826666666668,-0.03098360000000011,0.23623800000000017,two-sample permutation test; bootstrap percentile CI for mean difference,0.3545645435456454,7,boundary_estimate:6; not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7091290870912909
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,mincot_mg_o2_kg_km,main_valid_plus_boundary,FW25,FW18,group_1_minus_group_2,3,3,3.0,41.1321007794053,8.92864994582229,43.6173406862745,17.9876174785109,6.424850171668184,14.553563677083371,23.144483300894393,17.214574964803347,29.06377700919113,paired sign-flip permutation test; bootstrap percentile CI for mean paired difference,0.25,9,not_estimable:7; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",0.5
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,mincot_mg_o2_kg_km,main_valid_plus_boundary,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,6,,14.009545118012396,,14.009545118012396,51.76197791487195,5.221231198990198,52.36447836413403,37.75243279685955,,,two-sample permutation test; bootstrap percentile CI for mean difference,0.14378562143785623,5,not_estimable:4; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.14378562143785623
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,mincot_mg_o2_kg_km,main_valid_plus_boundary,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,51.76197791487195,5.221231198990198,52.36447836413403,47.968820345245106,13.805859763421964,44.20727749967436,-3.7931575696268425,-12.65596425092437,6.451440189848675,two-sample permutation test; bootstrap percentile CI for mean difference,0.561043895610439,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7480585274805853
