experimental_condition,silvering_stage,swimming_speed_m_s,response_variable,n,mean,sd,median,min,max,se
FW18,Y1,0.4,cot_mg_o2_kg_km,2,53.380724020516865,6.73002924727346,53.380724020516865,48.621874702186005,58.139573338847725,4.75884931833086
FW18,Y1,0.5,cot_mg_o2_kg_km,2,33.477849632963455,11.42416705291838,33.477849632963455,25.399743640436935,41.55595562548998,8.078105992526522
FW18,Y1,0.6,cot_mg_o2_kg_km,2,36.26805640810814,8.36799116634417,36.26805640810814,30.35099310947705,42.18511970673923,5.917063298631089
FW18,Y1,0.7,cot_mg_o2_kg_km,2,25.975664569610913,0.7885722399079721,25.975664569610913,25.41805979131652,26.533269347905303,0.557604778294392
FW18,Y1,0.8,cot_mg_o2_kg_km,1,14.553563677083371,,14.553563677083371,14.553563677083371,14.553563677083371,
FW18,Y1,0.9,cot_mg_o2_kg_km,1,46.39445448220757,,46.39445448220757,46.39445448220757,46.39445448220757,
FW18,Y1,1.0,cot_mg_o2_kg_km,1,17.523977898529317,,17.523977898529317,17.523977898529317,17.523977898529317,
FW18,Y2,0.4,cot_mg_o2_kg_km,2,25.88531796074873,2.8233770697401184,25.88531796074873,23.88888888888889,27.881747032608573,1.9964290718598414
FW18,Y2,0.5,cot_mg_o2_kg_km,1,20.885422773913028,,20.885422773913028,20.885422773913028,20.885422773913028,
FW18,Y2,0.6,cot_mg_o2_kg_km,1,25.01386232850239,,25.01386232850239,25.01386232850239,25.01386232850239,
FW18,Y2,0.7,cot_mg_o2_kg_km,1,14.009545118012396,,14.009545118012396,14.009545118012396,14.009545118012396,
FW18,Y2,0.8,cot_mg_o2_kg_km,1,25.18232614130437,,25.18232614130437,25.18232614130437,25.18232614130437,
FW18,Y2,0.9,cot_mg_o2_kg_km,1,23.0964637745572,,23.0964637745572,23.0964637745572,23.0964637745572,
FW25,Y1,0.4,cot_mg_o2_kg_km,5,61.420169622646725,7.982553274488563,65.9357968009477,52.119025735294386,69.36760311447803,3.5699063511539926
FW25,Y1,0.5,cot_mg_o2_kg_km,4,50.71915722153612,4.826582267885844,49.893367475739325,45.906832426832445,57.183061507833386,2.413291133942922
FW25,Y1,0.6,cot_mg_o2_kg_km,1,43.6173406862745,,43.6173406862745,43.6173406862745,43.6173406862745,
FW25,Y2,0.4,cot_mg_o2_kg_km,4,51.93847464365582,12.93310351935901,46.67028723280728,43.35325566520469,71.06006844380404,6.466551759679505
FW25,Y2,0.5,cot_mg_o2_kg_km,4,49.427849436272794,10.682107573727228,50.64767862252872,36.7195652173913,59.69647528264242,5.341053786863614
FW25,Y2,0.6,cot_mg_o2_kg_km,3,44.12701375014097,11.164262862050801,40.35770041422999,35.335295893719774,56.68804494247314,6.445690168708772
FW25,Y2,0.7,cot_mg_o2_kg_km,2,35.532267330463846,6.092640266324273,35.532267330463846,31.22412008281574,39.840414578111954,4.308147247648106
FW25,Y2,0.8,cot_mg_o2_kg_km,2,33.48427859163308,2.64437714010392,33.48427859163308,31.61442158385091,35.35413559941525,1.8698570077821708
FW25,Y2,0.9,cot_mg_o2_kg_km,2,42.377855494462814,8.843477956030506,42.377855494462814,36.124572262479894,48.631138726445734,6.25328323198292
