experimental_condition,silvering_stage,swimming_speed_m_s,response_variable,n,mean,sd,median,min,max,se
FW18,Y1,0.1,mo2_mg_o2_kg_h,5,50.62109842290677,26.93568910225688,39.12518598824654,30.85,96.9445468426231,12.046006370689334
FW18,Y1,0.4,mo2_mg_o2_kg_h,2,76.8682425895443,9.691242116073782,76.8682425895443,70.01549957114786,83.72098560794073,6.8527430183964375
FW18,Y1,0.5,mo2_mg_o2_kg_h,2,60.26012933933423,20.563500695253083,60.26012933933423,45.71953855278649,74.80072012588197,14.540590786547739
FW18,Y1,0.6,mo2_mg_o2_kg_h,2,78.33900184151359,18.074860919303422,78.33900184151359,65.55814511647043,91.11985856655676,12.780856725043163
FW18,Y1,0.7,mo2_mg_o2_kg_h,2,65.4586747154195,1.9872020445680867,65.4586747154195,64.05351067411763,66.86383875672136,1.4051640413018658
FW18,Y1,0.8,mo2_mg_o2_kg_h,1,41.91426339000011,,41.91426339000011,41.91426339000011,41.91426339000011,
FW18,Y1,0.9,mo2_mg_o2_kg_h,1,150.31803252235252,,150.31803252235252,150.31803252235252,150.31803252235252,
FW18,Y1,1.0,mo2_mg_o2_kg_h,1,63.08632043470555,,63.08632043470555,63.08632043470555,63.08632043470555,
FW18,Y2,0.1,mo2_mg_o2_kg_h,5,31.93069914973902,5.851801318581502,30.35523773999966,24.35,38.97825800869543,2.617005107834228
FW18,Y2,0.4,mo2_mg_o2_kg_h,2,37.274857863478175,4.065662980425777,37.274857863478175,34.4,40.14971572695635,2.874857863478176
FW18,Y2,0.5,mo2_mg_o2_kg_h,1,37.59376099304345,,37.59376099304345,37.59376099304345,37.59376099304345,
FW18,Y2,0.6,mo2_mg_o2_kg_h,1,54.02994262956517,,54.02994262956517,54.02994262956517,54.02994262956517,
FW18,Y2,0.7,mo2_mg_o2_kg_h,1,35.30405369739124,,35.30405369739124,35.30405369739124,35.30405369739124,
FW18,Y2,0.8,mo2_mg_o2_kg_h,1,72.52509928695659,,72.52509928695659,72.52509928695659,72.52509928695659,
FW18,Y2,0.9,mo2_mg_o2_kg_h,1,74.83254262956534,,74.83254262956534,74.83254262956534,74.83254262956534,
FW25,Y1,0.1,mo2_mg_o2_kg_h,5,64.0143969429057,12.306980428613366,64.27306439393912,51.897242647058725,81.45024918960108,5.503848967227797
FW25,Y1,0.4,mo2_mg_o2_kg_h,5,88.4450442566113,11.494876715263539,94.9475473933647,75.05139705882392,99.88934848484838,5.140665145661753
